rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,1,OLD,20164721,미녀와 야수,2017-03-16,2553235820,33.8,1673744157,190.3,31749320276,306314,200259,188.8,3857717,1105,4370,2017-04-01,
2,2,-1,OLD,20162181,프리즌,2017-03-23,1938640180,25.7,1003771793,107.4,16459603140,224529,113188,101.7,2036779,908,3854,2017-04-01,
3,3,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,1568756471,20.8,822691805,110.3,3567332837,177091,91743,107.5,439838,807,3742,2017-04-01,
4,4,0,OLD,20151230,원라인,2017-03-29,707181120,9.4,371158207,110.5,1653610533,86002,44304,106.2,221454,584,1908,2017-04-01,
5,5,0,OLD,20167363,히든 피겨스,2017-03-23,281831500,3.7,129086600,84.5,2067783533,33452,14743,78.8,260970,350,706,2017-04-01,
6,6,0,OLD,20167902,보통사람,2017-03-23,117118300,1.6,39256800,50.4,2738974323,14710,4802,48.5,354220,362,604,2017-04-01,
7,7,1,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,48400829,0.6,19888395,69.8,138900663,5865,2407,69.6,18395,273,398,2017-04-01,
8,8,-1,OLD,20167364,미스 슬로운,2017-03-29,41437700,0.5,12873900,45.1,137927400,4865,1379,39.6,18012,101,215,2017-04-01,
9,9,15,OLD,20171661,아기돼지 3형제와 매직램프,2017-03-23,30529000,0.4,27554500,926.4,150468600,3895,3509,909.1,19141,87,117,2017-04-01,
10,10,-1,OLD,20179442,밤의 해변에서 혼자,2017-03-23,26397700,0.3,6921600,35.5,294661000,3173,740,30.4,38270,71,157,2017-04-01,
1,1,0,OLD,20162181,프리즌,2017-03-23,1938640180,69.3,1003771793,107.4,16459603140,224529,113188,101.7,2036779,908,3854,2017-04-01,K
2,2,0,OLD,20151230,원라인,2017-03-29,707181120,25.3,371158207,110.5,1653610533,86002,44304,106.2,221454,584,1908,2017-04-01,K
3,3,0,OLD,20167902,보통사람,2017-03-23,117118300,4.2,39256800,50.4,2738974323,14710,4802,48.5,354220,362,604,2017-04-01,K
4,4,0,OLD,20179442,밤의 해변에서 혼자,2017-03-23,26397700,0.9,6921600,35.5,294661000,3173,740,30.4,38270,71,157,2017-04-01,K
5,5,0,NEW,20161923,시간위의 집,2017-04-05,4884600,0.2,4884600,100,37650600,714,714,100,5088,35,35,2017-04-01,K
6,6,0,NEW,20161723,싱글라이더,2017-02-22,1820000,0.1,1820000,100,2685519021,260,260,100,351276,1,1,2017-04-01,K
7,7,7,OLD,20166421,재심,2017-02-15,911000,0.0,865000,1880.4,19260870637,151,145,2416.7,2420266,3,3,2017-04-01,K
8,8,0,NEW,20160261,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,754500,0.0,754500,100,269396300,82,82,100,32535,1,1,2017-04-01,K
9,9,0,NEW,20165521,극장판 프리즘스톤 올스타 셀렉션,2016-07-07,531500,0.0,531500,100,80631700,56,56,100,9573,1,1,2017-04-01,K
10,10,3,OLD,20158799,눈길,2017-03-01,294000,0.0,201000,216.1,965549100,55,44,400,128962,7,7,2017-04-01,K
1,1,0,OLD,20164721,미녀와 야수,2017-03-16,2553235820,53.8,1673744157,190.3,31749320276,306314,200259,188.8,3857717,1105,4370,2017-04-01,F
2,2,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,1568756471,33.1,822691805,110.3,3567332837,177091,91743,107.5,439838,807,3742,2017-04-01,F
