rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,19,OLD,20150971,해빙,2017-03-01,3220411500,36.3,3206331500,22772.2,3246080500,386128,384368,21839.1,389152,828,3969,2017-03-01,
2,2,0,OLD,20161827,로건,2017-03-01,2278583500,25.7,1486230000,187.6,3078681000,256255,158261,161.5,355280,849,3782,2017-03-01,
3,3,-2,OLD,20170241,23 아이덴티티,2017-02-22,1018527000,11.5,136271700,15.4,10613225500,119402,2847,2.4,1316094,540,2169,2017-03-01,
4,4,-1,OLD,20166421,재심,2017-02-15,663812800,7.5,90765500,15.8,16796742737,80454,2591,3.3,2111160,545,1497,2017-03-01,
5,5,-1,OLD,20161744,트롤,2017-02-16,429686700,4.8,191076700,80.1,4338000200,55644,20368,57.7,589253,383,714,2017-03-01,
6,6,25,OLD,20158799,눈길,2017-03-01,291392500,3.3,287017500,6560.4,318570500,37284,36659,5865.4,41013,495,1278,2017-03-01,
7,7,-2,OLD,20150964,조작된 도시,2017-02-09,149143600,1.7,-82530700,-35.6,19701486787,18446,-13291,-41.9,2458570,258,409,2017-03-01,
8,8,1,OLD,20165927,문라이트,2017-02-22,110638200,1.2,35516600,47.3,563840900,13017,2750,26.8,71031,134,255,2017-03-01,
9,9,1,OLD,20166468,사일런스,2017-02-28,94744600,1.1,42352400,80.8,173463500,11917,4887,69.5,21977,338,552,2017-03-01,
10,10,-3,OLD,20166101,존 윅 - 리로드,2017-02-22,98326400,1.1,-8149900,-7.7,1783376700,11417,-2378,-17.2,220625,165,404,2017-03-01,
1,1,6,OLD,20150971,해빙,2017-03-01,3220411500,72.0,3206331500,22772.2,3246080500,386128,384368,21839.1,389152,828,3969,2017-03-01,K
2,2,-1,OLD,20166421,재심,2017-02-15,663812800,14.8,90765500,15.8,16796742737,80454,2591,3.3,2111160,545,1497,2017-03-01,K
3,3,5,OLD,20158799,눈길,2017-03-01,291392500,6.5,287017500,6560.4,318570500,37284,36659,5865.4,41013,495,1278,2017-03-01,K
4,4,-2,OLD,20150964,조작된 도시,2017-02-09,149143600,3.3,-82530700,-35.6,19701486787,18446,-13291,-41.9,2458570,258,409,2017-03-01,K
5,5,-2,OLD,20161723,싱글라이더,2017-02-22,68028400,1.5,-105151200,-60.7,2441918021,8161,-15866,-66,320079,212,310,2017-03-01,K
6,6,0,OLD,20168668,레이디버그,2017-02-22,24398000,0.5,-4802000,-16.4,277844000,3104,-1103,-26.2,36891,63,71,2017-03-01,K
7,7,0,NEW,20150753,눈발,2017-03-01,21454600,0.5,21454600,100,56962100,2496,2496,100,6097,64,106,2017-03-01,K
8,8,-3,OLD,20151228,공조,2017-01-18,18950300,0.4,-30260400,-61.5,63752773826,2267,-4508,-66.5,7813862,36,48,2017-03-01,K
9,9,0,NEW,20166422,커피 메이트,2017-03-01,7417500,0.2,7417500,100,16201500,837,837,100,1935,97,158,2017-03-01,K
10,10,-6,OLD,20156562,루시드 드림,2017-02-22,3732000,0.1,-48030800,-92.8,745034000,536,-6447,-92.3,100189,31,38,2017-03-01,K
1,1,1,OLD,20161827,로건,2017-03-01,2278583500,51.7,1486230000,187.6,3078681000,256255,158261,161.5,355280,849,3782,2017-03-01,F
2,2,-1,OLD,20170241,23 아이덴티티,2017-02-22,1018527000,23.1,136271700,15.4,10613225500,119402,2847,2.4,1316094,540,2169,2017-03-01,F
3,3,0,OLD,20161744,트롤,2017-02-16,429686700,9.7,191076700,80.1,4338000200,55644,20368,57.7,589253,383,714,2017-03-01,F
4,4,2,OLD,20165927,문라이트,2017-02-22,110638200,2.5,35516600,47.3,563840900,13017,2750,26.8,71031,134,255,2017-03-01,F
5,5,2,OLD,20166468,사일런스,2017-02-28,94744600,2.1,42352400,80.8,173463500,11917,4887,69.5,21977,338,552,2017-03-01,F
6,6,-2,OLD,20166101,존 윅 - 리로드,2017-02-22,98326400,2.2,-8149900,-7.7,1783376700,11417,-2378,-17.2,220625,165,404,2017-03-01,F
7,7,1,OLD,20167904,라라랜드,2016-12-07,80843000,1.8,30877000,61.8,27838197428,9364,2881,44.4,3328807,87,123,2017-03-01,F
8,8,1,OLD,20170509,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,59322000,1.3,21929000,58.6,545492000,7648,2432,46.6,71390,90,150,2017-03-01,F
9,9,0,NEW,20170381,매직키드 보보,2017-03-01,50408600,1.1,50408600,100,54968600,6535,6535,100,7168,219,291,2017-03-01,F
10,10,-5,OLD,20167922,핵소 고지,2017-02-22,38514600,0.9,-45272200,-54,1157856400,4794,-7083,-59.6,152375,95,126,2017-03-01,F
1,1,1,OLD,20161827,로건,2017-03-01,717483800,32.4,-1561099700,-68.5,3796164800,91603,-164652,-64.3,446883,817,3587,2017-03-02,
2,2,-1,OLD,20150971,해빙,2017-03-01,655762600,29.6,-2564648900,-79.6,3901843100,87354,-298774,-77.4,476506,802,3755,2017-03-02,
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,247391100,11.2,-771135900,-75.7,10860616600,32123,-87279,-73.1,1348217,505,1981,2017-03-02,
4,4,0,OLD,20166421,재심,2017-02-15,163100700,7.4,-500712100,-75.4,16959843437,22108,-58346,-72.5,2133268,497,1435,2017-03-02,
5,5,1,OLD,20158799,눈길,2017-03-01,63344700,2.9,-228047800,-78.3,381915200,9072,-28212,-75.7,50085,438,1086,2017-03-02,
6,6,2,OLD,20165927,문라이트,2017-02-22,40089100,1.8,-70549100,-63.8,603930000,5381,-7636,-58.7,76412,141,268,2017-03-02,
7,7,-2,OLD,20161744,트롤,2017-02-16,38250100,1.7,-391436600,-91.1,4376250300,5369,-50275,-90.4,594622,250,372,2017-03-02,
8,8,1,OLD,20166468,사일런스,2017-02-28,36239400,1.6,-58505200,-61.8,209702900,5136,-6781,-56.9,27113,327,572,2017-03-02,
9,9,1,OLD,20166101,존 윅 - 리로드,2017-02-22,35080400,1.6,-63246000,-64.3,1818457100,4522,-6895,-60.4,225147,172,446,2017-03-02,
10,10,-3,OLD,20150964,조작된 도시,2017-02-09,29531400,1.3,-119612200,-80.2,19731018187,3996,-14450,-78.3,2462566,263,405,2017-03-02,
1,1,0,OLD,20150971,해빙,2017-03-01,655762600,68.4,-2564648900,-79.6,3901843100,87354,-298774,-77.4,476506,802,3755,2017-03-02,K
2,2,0,OLD,20166421,재심,2017-02-15,163100700,17.0,-500712100,-75.4,16959843437,22108,-58346,-72.5,2133268,497,1435,2017-03-02,K
3,3,0,OLD,20158799,눈길,2017-03-01,63344700,6.6,-228047800,-78.3,381915200,9072,-28212,-75.7,50085,438,1086,2017-03-02,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,29531400,3.1,-119612200,-80.2,19731018187,3996,-14450,-78.3,2462566,263,405,2017-03-02,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,25934500,2.7,-42093900,-61.9,2467852521,3661,-4500,-55.1,323740,225,326,2017-03-02,K
6,6,1,OLD,20150753,눈발,2017-03-01,5160800,0.5,-16293800,-75.9,62122900,692,-1804,-72.3,6789,60,94,2017-03-02,K
7,7,0,NEW,20154802,아티스트: 다시 태어나다,2017-03-09,3786000,0.4,3786000,100,7276800,631,631,100,1141,2,2,2017-03-02,K
8,8,1,OLD,20166422,커피 메이트,2017-03-01,4443000,0.5,-2974500,-40.1,20644500,599,-238,-28.4,2534,97,167,2017-03-02,K
9,9,-3,OLD,20168668,레이디버그,2017-02-22,3230000,0.3,-21168000,-86.8,281074000,443,-2661,-85.7,37334,44,44,2017-03-02,K
10,10,-2,OLD,20151228,공조,2017-01-18,2519500,0.3,-16430800,-86.7,63755293326,330,-1937,-85.4,7814192,33,41,2017-03-02,K
1,1,0,OLD,20161827,로건,2017-03-01,717483800,57.2,-1561099700,-68.5,3796164800,91603,-164652,-64.3,446883,817,3587,2017-03-02,F
2,2,0,OLD,20170241,23 아이덴티티,2017-02-22,247391100,19.7,-771135900,-75.7,10860616600,32123,-87279,-73.1,1348217,505,1981,2017-03-02,F
3,3,1,OLD,20165927,문라이트,2017-02-22,40089100,3.2,-70549100,-63.8,603930000,5381,-7636,-58.7,76412,141,268,2017-03-02,F
4,4,-1,OLD,20161744,트롤,2017-02-16,38250100,3.0,-391436600,-91.1,4376250300,5369,-50275,-90.4,594622,250,372,2017-03-02,F
5,5,0,OLD,20166468,사일런스,2017-02-28,36239400,2.9,-58505200,-61.8,209702900,5136,-6781,-56.9,27113,327,572,2017-03-02,F
6,6,0,OLD,20166101,존 윅 - 리로드,2017-02-22,35080400,2.8,-63246000,-64.3,1818457100,4522,-6895,-60.4,225147,172,446,2017-03-02,F
7,7,1,OLD,20170509,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,26965000,2.2,-32357000,-54.5,572457000,3707,-3941,-51.5,75097,81,154,2017-03-02,F
8,8,-1,OLD,20167904,라라랜드,2016-12-07,25417100,2.0,-55425900,-68.6,27863614528,3367,-5997,-64,3332174,98,138,2017-03-02,F
9,9,1,OLD,20167922,핵소 고지,2017-02-22,11711800,0.9,-26802800,-69.6,1169568200,1635,-3159,-65.9,154010,102,141,2017-03-02,F
10,10,0,NEW,20167363,히든 피겨스,2017-03-23,13556000,1.1,13556000,100,18244000,1585,1585,100,2180,5,5,2017-03-02,F
1,1,0,OLD,20161827,로건,2017-03-01,1058967148,37.2,341483348,47.6,4855131948,120875,29272,32,567758,852,3710,2017-03-03,
2,2,0,OLD,20150971,해빙,2017-03-01,770505348,27.1,114742748,17.5,4672348448,91277,3923,4.5,567783,850,3969,2017-03-03,
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,312842052,11.0,65450952,26.5,11173458652,36224,4101,12.8,1384441,499,2029,2017-03-03,
4,4,0,OLD,20166421,재심,2017-02-15,204515100,7.2,41414400,25.4,17164358537,24979,2871,13,2158247,506,1490,2017-03-03,
5,5,0,OLD,20158799,눈길,2017-03-01,63072100,2.2,-272600,-0.4,444987300,8157,-915,-10.1,58242,416,1034,2017-03-03,
6,6,0,OLD,20165927,문라이트,2017-02-22,54519000,1.9,14429900,36,658449000,6545,1164,21.6,82957,162,300,2017-03-03,
7,7,1,OLD,20166468,사일런스,2017-02-28,48776600,1.7,12537200,34.6,258479500,6131,995,19.4,33244,342,592,2017-03-03,
8,8,1,OLD,20166101,존 윅 - 리로드,2017-02-22,48766500,1.7,13686100,39,1867223600,5593,1071,23.7,230740,170,436,2017-03-03,
9,9,1,OLD,20150964,조작된 도시,2017-02-09,43770800,1.5,14239400,48.2,19774788987,5293,1297,32.5,2467859,264,429,2017-03-03,
10,10,3,OLD,20167904,라라랜드,2016-12-07,45927000,1.6,20509900,80.7,27909541528,5279,1912,56.8,3337453,137,199,2017-03-03,
1,1,0,OLD,20150971,해빙,2017-03-01,770505348,67.3,114742748,17.5,4672348448,91277,3923,4.5,567783,850,3969,2017-03-03,K
2,2,0,OLD,20166421,재심,2017-02-15,204515100,17.9,41414400,25.4,17164358537,24979,2871,13,2158247,506,1490,2017-03-03,K
3,3,0,OLD,20158799,눈길,2017-03-01,63072100,5.5,-272600,-0.4,444987300,8157,-915,-10.1,58242,416,1034,2017-03-03,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,43770800,3.8,14239400,48.2,19774788987,5293,1297,32.5,2467859,264,429,2017-03-03,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,36081600,3.2,10147100,39.1,2503934121,4312,651,17.8,328052,227,328,2017-03-03,K
6,6,0,OLD,20150753,눈발,2017-03-01,7982400,0.7,2821600,54.7,70105300,903,211,30.5,7692,63,86,2017-03-03,K
7,7,1,OLD,20166422,커피 메이트,2017-03-01,5437500,0.5,994500,22.4,26082000,652,53,8.8,3186,99,177,2017-03-03,K
